# 会话360 课文英文对照 — 汉字<TAB>English (keyed by the exact speech line, speaker stripped).
# Merged into src/data/texts/huihua360-*.json by scripts/convert_360.py.
# Learner-friendly English; edit here (not the JSON), then re-run the converter.
你好！雪丽.	Hello, Xueli!
你好！雪丽。	Hello, Xueli!
你好！思齐。	Hello, Siqi!
你们好！	Hello, everyone!
老师好！	Hello, teacher!
您好！我是大卫。	Hello! I'm David.
你好！我是王小天。	Hi! I'm Wang Xiaotian.
再见！	Goodbye!
我很饿。你饿吗？	I'm very hungry. Are you hungry?
我也很饿。	I'm hungry too.
这个好看吗？	Does this look nice?
这个不好看。	This doesn't look nice.
谢谢！	Thank you!
不客气！	You're welcome!
对不起！	I'm sorry!
没关系！	It's okay!
你好！我是大卫。你叫什么名字？	Hi! I'm David. What's your name?
你好！我叫西田。大卫，你是哪国人？	Hi! My name is Nishida. David, what country are you from?
我是俄罗斯人。你呢？	I'm Russian. And you?
我是日本人。	I'm Japanese.
您的电话号码是多少？	What's your phone number?
我的电话是18810842742。	My phone number is 18810842742.
您的邮箱是什么？	What's your email address?
我的邮箱是18810842742@126.com。	My email is 18810842742@126.com.
今天几月几号？	What's the date today?
今天五月九号。	Today is May 9th.
今天星期几？	What day is it today?
今天星期二。	Today is Tuesday.
六月二十五号是雪丽的生日。	June 25th is Xueli's birthday.
六月二十五号星期几？	What day of the week is June 25th?
星期日。	Sunday.
星期日，太好了！	Sunday — great!
明天早上七点吃早饭。	Tomorrow we'll have breakfast at seven in the morning.
现在几点？	What time is it now?
现在八点十分。	It's ten past eight.
不对。现在十一点十分。	That's not right. It's ten past eleven.
现在九点十分。	It's ten past nine.
请问，现在几点？	Excuse me, what time is it now?
现在北京时间九点十分。	It's ten past nine, Beijing time.
迎迎，你几点下班？	Yingying, what time do you get off work?
我六点下班。你什么时候下课？	I get off at six. When does your class finish?
我五点半下课。我们晚上一起吃饭吧。	My class ends at five thirty. Let's have dinner together tonight.
好啊！现在几点？	Sure! What time is it now?
现在差一刻九点。	It's a quarter to nine.
哎呀，我九点上班。晚上见。	Oh no, I start work at nine. See you tonight.
晚上几点见？	What time shall we meet tonight?
六点二十。	Six twenty.
妈，这是我男朋友大卫，他的汉语很好。	Mom, this is my boyfriend David. His Chinese is very good.
欢迎！欢迎！	Welcome! Welcome!
阿姨好！	Hello, auntie!
大卫，你多大？	David, how old are you?
我25岁。	I'm 25 years old.
你家有几口人？	How many people are in your family?
我家有四口人，爸爸、妈妈、姐姐和我。	There are four people in my family: my dad, my mom, my older sister, and me.
你爸爸、妈妈做什么工作？	What do your mom and dad do for work?
我爸爸是老师，妈妈是医生。	My dad is a teacher and my mom is a doctor.
你姐姐……	And your older sister...
妈！您的问题太多了！	Mom! You're asking too many questions!
这是谁？	Who is this?
这是我妹妹。	This is my younger sister.
她是学生吗？	Is she a student?
是。	Yes.
她在哪儿学习？	Where does she study?
她在北京大学学习。	She studies at Peking University.
这是你弟弟吗？	Is this your younger brother?
我没有弟弟，这是我哥哥。	I don't have a younger brother; this is my older brother.
他也是学生吗？	Is he a student too?
不是，他在银行工作。	No, he works at a bank.
西瓜多少钱一斤？	How much is watermelon per jin (half kilo)?
西瓜两块五一斤。	Watermelon is 2.5 yuan per jin.
我要这个。	I'll take this one.
好。十一块二。	Okay. That's 11.2 yuan.
苹果怎么卖？	How are the apples sold?
苹果十块钱三斤。	Apples are 10 yuan for three jin.
要三斤。	I'll take three jin.
好。一共二十一块二，二十一吧。	Okay. That's 21.2 yuan in total — let's just say 21.
您买什么？	What would you like to buy?
我要两瓶矿泉水。	I'd like two bottles of mineral water.
给。还要别的吗？	Here you go. Anything else?
面包多少钱一个？	How much is one loaf of bread?
六块钱一个。	Six yuan each.
要一个。一共多少钱？	I'll take one. How much is it in total?
十块。	Ten yuan.
四块？	Four yuan?
您好！请问，洗手间在哪儿？	Hello! Excuse me, where is the restroom?
往左拐，一直走。	Turn left and go straight.
好的，谢谢！	Okay, thank you!
您好！请问，105房间在哪儿？	Hello! Excuse me, where is room 105?
往前走，然后往右拐。	Go straight, then turn right.
您好！请问，国家图书馆怎么走？	Hello! Excuse me, how do I get to the National Library?
对不起，我也不知道。	Sorry, I don't know either.
从这儿往南走，第二个路口往左拐。	From here go south and turn left at the second intersection.
往南走，第二个路口，左拐。	Go south, second intersection, turn left.
然后一直走到头，往右拐，再往前走500米，国家图书馆在马路西边。	Then go straight to the end, turn right, walk another 500 meters, and the National Library is on the west side of the road.
马路西边。好的，谢谢！请问，这边是西边吗？	West side of the road. Okay, thank you! Excuse me, is this way west?
你想吃包子还是饺子？	Do you want to eat baozi or dumplings?
我都不想吃。咱们吃面条儿吧。	I don't want either. Let's have noodles.
我不想吃面条儿。我最近每天都吃面条儿。	I don't want noodles. I've been eating noodles every day lately.
那你想吃什么？	Then what do you want to eat?
吃比萨，怎么样？	How about pizza?
（女朋友看到了比萨广告）	(His girlfriend sees a pizza ad.)
好主意。今天特价。	Good idea. There's a special today.
太好了！	Great!
欢迎光临！请问，您想喝点儿什么？	Welcome! What would you like to drink?
您好！我要一杯红茶。	Hello! I'd like a cup of black tea.
好的。您要大杯还是小杯？	Sure. Would you like a large or a small?
大杯。	A large one.
今天这种蛋糕特价，您要一块儿吗？	This cake is on special today. Would you like a piece?
真便宜，要一块儿。	That's really cheap — I'll take a piece.
好的。您刷卡还是付现金？	Okay. Will you pay by card or cash?
刷卡。	By card.
你好，我叫爱华，我住11层，1107。	Hi, my name is Aihua. I live on the 11th floor, room 1107.
我住1106，很高兴认识你！	I live in 1106. Nice to meet you!
认识你我也很高兴！这是你的小狗吗？	Nice to meet you too! Is this your puppy?
是啊。它叫“小胖”。	Yes. Its name is "Xiaopang" (Little Chubby).
它眼睛真大！太可爱了。	Its eyes are so big! So cute.
（狗向前迈了一步）	(The dog takes a step forward.)
别担心！	Don't worry!
没关系，我很喜欢小猫、小狗。	It's fine, I really like cats and dogs.
姐姐，爸妈身体怎么样？	Sis, how are Mom and Dad doing?
爸妈身体都很好。你放心吧！	Mom and Dad are both very well. Don't worry!
对了，我想看你新男朋友的照片。	By the way, I'd like to see a photo of your new boyfriend.
（姐姐给她看一张照片）	(The older sister shows her a photo.)
他个子真高！	He's so tall!
他是健身教练。	He's a fitness trainer.
他工作忙不忙？	Is he busy at work?
他工作非常忙，周末也不休息。	He's very busy at work; he doesn't even rest on weekends.
你喜欢唱歌吗？	Do you like singing?
我喜欢听歌，唱歌唱得不太好。	I like listening to songs, but I don't sing very well.
我喜欢唱歌、看电影、旅游、打网球……	I like singing, watching movies, traveling, playing tennis...
是吗？你的爱好真多！	Really? You have so many hobbies!
你有什么爱好？	What hobbies do you have?
我也喜欢网球，不过我不会打。	I like tennis too, but I don't know how to play.
