(代)替	?	instead of; to replace	我替你去吧。
(大)象	?	elephant	动物园里有大象。
(象)棋	?	Chinese chess	爷爷喜欢下象棋。
(躲)藏	v	to hide	孩子躲藏在门后。
一	num	one	我有一个孩子。
一下	?	a little; once (after a verb)	请看一下。
一丝不苟	?	meticulous; very careful	她工作一丝不苟。
一举两得	v	to achieve two things at once	骑车上班既锻炼又省钱，一举两得。
一些	?	some; a few	我买了一些水果。
一会儿	?	a while; a moment	请等一会儿。
一共	?	altogether; in total	一共有十个人。
一再	?	repeatedly	我一再提醒他。
一切	?	everything; all	一切都很好。
一半	num	half	我吃了一半。
一向	adv	always; consistently	他一向很守时。
一块儿	adv	together	我们一块儿去吧。
一如既往	?	as always; as before	他一如既往地支持我。
一定	adv	certainly; must	我一定会来。
一帆风顺	?	smooth sailing; everything goes well	人生不可能总是一帆风顺。
一度	?	once; for a time	这家店一度很受欢迎。
一律	?	all; without exception	这里一律不能停车。
一旦	?	once; if	一旦决定，就别放弃。
一样	part	same; alike	我们两个一样高。
一流	?	first-rate; top-class	这里的服务是一流的。
一点儿	?	a little; a bit	我想喝一点儿水。
一目了然	?	clear at a glance	这张表让结果一目了然。
一直	?	continuously; straight	一直往前走。
一致	?	consistent; unanimous	大家的意见一致。
一般	adv	generally; ordinary	我一般八点上班。
一贯	?	consistently; always	他一贯认真工作。
一起	adv	together	我们一起去北京。
一辈子	?	all one's life	我一辈子都记得。
一边	?	one side; while doing	我一边吃饭，一边看电视。
一齐	adv	together; simultaneously	大家一齐出发。
丁	?	fourth; Ding	甲乙丙丁代表四个部分。
七	num	seven	我七点起床。
万	num	ten thousand	这个房子五十万。
万一	num	in case; if by any chance	万一下雨怎么办？
万分	?	extremely; very	我对此万分感谢。
丈夫	?	husband	她丈夫是医生。
三	num	three	我家有三口人。
上	?	on; above; up	书在桌子上。
上任	v	to take office; assume a post	新经理今天上任。
上午	?	morning	上午我学习汉语。
上去	v	to go up	你先上去吧。
上周	?	last week	上周我很忙。
上学	v	to go to school	孩子去上学。
上当	v	to be deceived	我差点儿上当了。
上来	v	to come up	请上来。
