AI小语，你好	AI 小语 ， 你好
老师，您好	老师 ， 您好
不客气	不 客气
你叫什么名字	你 叫 什么 名字
我不是安妮，我是白家月	我 不是 安妮 ， 我 是 白家月
我叫李文	我 叫 李文
我是中国人	我 是 中国 人
你女朋友是哪国人	你 女朋友 是 哪 国 人
你也很忙吗	你 也 很 忙 吗
她有二十个学生	她 有 二十个 学生
你家有几口人	你家 有 几口 人
您女儿多大	您 女儿 多大
今天9月8号	今天 9 月 8 号
你会做饭吗	你 会 做饭 吗
这是你的新电脑吗	这 是 你 的 新 电脑 吗
你的手机号是多少	你 的 手机号 是 多少
我想去超市买东西	我 想 去 超市 买 东西
我们怎么去	我们 怎么 去
我们下午两点见吧	我们 下午 两点 见 吧
我明天下午两点还上课呢，四点半下课	我 明天 下午 两点 还 上课 呢 ， 四点 半 下课
我晚上六点半下班	我 晚上 六点半 下班
它在桌子下呢	它 在 桌子 下 呢
下午两点你能到吗	下午 两点 你 能 到 吗
我爸爸也在医院工作	我 爸爸 也 在 医院 工作
学校前边有一家电影院	学校 前边 有 一家 电影院
这是我的第二本中文书	这 是 我 的 第二 本 中文 书
我白天在家里读书，晚上和朋友们去外边唱歌	我 白天 在 家里 读书 ， 晚上 和 朋友 们 去 外边 唱歌
多少钱一个	多少 钱 一个
这儿的水果真不少	这儿 的 水果 真 不少
这件一百元，怎么样	这件 一百元 ， 怎么样
你开车没开车	你 开车 没 开车
你还在读大学吗	你 还 在 读 大学 吗
他今天要和小朋友玩	他 今天 要 和 小朋友 玩
下雨了	下雨 了
太冷了	太 冷 了
我病了	我 病 了
我可以再问您一个问题吗	我 可以 再 问 您 一个 问题 吗
我看一下	我 看 一下
请给我一杯茶吧	请 给 我 一杯 茶 吧
我看了一个电影	我 看 了 一个 电影
我们都会写了	我们 都 会 写 了
上学后，他们都忙了	上学 后 ， 他们 都 忙 了
我喜欢这个，也喜欢那个	我 喜欢 这个 ， 也 喜欢 那个
今年我也想去北京	今年 我 也 想 去 北京
她可以去机场接你们，你们也可以住我家	她 可以 去 机场 接 你们 ， 你们 也 可以 住 我家
你们就是她的学生吧	你们 就是 她 的 学生 吧
你们是来学中文的吗	你们 是 来 学 中文 的 吗
我想请你帮个忙	我 想 请 你 帮 个 忙
是您姐姐来接的我们	是 您 姐姐 来 接 的 我们
我们还是打车去吧	我们 还是 打车 去 吧
四万多名学生	四万 多 名 学生
他们卖的电影票	他们 卖 的 电影票
有四万多名学生	有 四万 多 名 学生
没做完	没 做 完
再想一想	再 想一想
我去洗洗手	我 去 洗洗手
休息休息	休息 休息
来过这家商场吗	来过 这家 商场 吗
就是因为没穿过，所以要试试啊	就是 因为 没 穿过 ， 所以 要 试试 啊
卖书包的	卖 书包 的
没穿过红色的裤子	没 穿过 红色 的 裤子
快下来吧	快 下来 吧
快进来	快 进来
都12点了	都 12 点 了
饭菜都做好了	饭菜 都 做好 了
大大的生日蛋糕	大大的 生日蛋糕
白色的猫什么的	白色 的 猫 什么 的
高高兴兴地玩	高高兴兴 地 玩
舒舒服服地睡一觉	舒舒服服 地 睡一觉
一下课就往外跑	一 下课 就 往外 跑
你踢得怎么样	你 踢 得 怎么样
你篮球打得怎么样	你 篮球 打 得 怎么样
游泳游得也很快	游泳 游 得 也 很 快
左边的比右边的好看	左边 的 比 右边 的 好看
这个电影比那个爱情片更有意思	这个 电影 比 那个 爱情片 更 有意思
虽然花了一些钱，但是	虽然 花 了 一些 钱 ， 但是
虽然妻子忘了今天是自己的生日，但是丈夫记得	虽然 妻子 忘 了 今天 是 自己 的 生日 ， 但是 丈夫 记得
没有他那么高	没有 他 那么 高
咖啡店离这儿有点儿远	咖啡店 离 这儿 有点儿 远
走半个多小时	走 半个 多 小时
商店里边的衣服没有大商场里的好看	商店 里边 的 衣服 没有 大 商场 里 的 好看
我的书包你看见了吗	我 的 书包 你 看见 了 吗
明天就要考试了	明天 就要 考试 了
饭菜快要做好了	饭菜 快要 做好 了
快要开学了	快要 开学 了
你在这儿坐着	你 在 这儿 坐 着
还下着雪	还 下 着 雪
你最喜欢吃中国菜	你 最 喜欢 吃 中国 菜
我也要睡觉了	我 也 要 睡觉 了
我这里比北京冷多了	我 这里 比 北京 冷 多 了
昨天比今天下得大	昨天 比 今天 下 得 大
你跑步跑得比我快	你 跑步 跑 得 比 我 快
跑得比我快	跑 得 比 我 快
就送给她花吧	就 送给 她 花 吧
今天的词比昨天多了十个	今天 的 词 比 昨天 多 了 十个
比我们一起买的那个本子贵一点儿	比 我们 一起 买 的 那个 本子 贵 一点儿
比我的本子贵一点儿	比 我 的 本子 贵 一点儿
你家楼下站着一个人	你家 楼下 站 着 一个 人
你一个人在这儿多没意思啊	你 一个 人 在 这儿 多 没意思 啊
她经常跑上来找我玩	她 经常 跑上来 找 我 玩
他就喜欢上我了	他 就 喜欢 上 我 了
虽然去过一次，但是很想再去一次	虽然 去过 一次 ， 但是 很 想 再 去 一次
再吃一次烤鸭	再 吃 一次 烤鸭
有一年没回国了	有 一年 没 回国 了
有半年多没回去了	有 半年 多 没 回去 了
看上去有点儿像	看上去 有点儿 像
我好像在哪儿看到过这个箱子	我 好像 在 哪儿 看到 过 这个 箱子
那个穿着黑衣服的短头发的年轻人	那个 穿着 黑衣服 的 短 头发 的 年轻人
一家很好吃的中国菜	一家 很 好吃 的 中国 菜
又饿又渴	又 饿 又 渴
哪个菜都好吃	哪个 菜 都 好吃
想吃什么就点什么	想 吃 什么 就 点 什么
什么都没有妈妈做的饭好吃	什么 都 没有 妈妈 做 的 饭 好吃
环境挺好的	环境 挺 好 的
我这几天忙坏了	我 这 几天 忙 坏 了
很晚才能回来	很 晚 才能 回来
下个月才能搬家	下个月 才能 搬家
草原一点儿也不冷	草原 一点儿 也 不 冷
跟别的都不一样	跟 别的 都 不 一样
除了这个行李箱以外，还有别的东西吗	除了 这个 行李箱 以外 ， 还有 别的 东西 吗
一点儿也没着急	一点儿 也 没 着急
天气好得很	天气 好 得 很
张张都非常好看	张张 都 非常 好看
后边走过去两个人	后边 走 过去 两个 人
你听完了音乐会就来我家吃饭	你 听 完 了 音乐会 就 来 我家 吃饭
咱们该买去上海的票了	咱们 该 买 去 上海 的 票 了
如果没走错，二十分钟以前就到了	如果 没 走 错 ， 二十分钟 以前 就 到 了
前面的人越来越多	前面 的 人 越来越 多
现在喜欢坐高铁的人越来越多	现在 喜欢 坐 高铁 的 人 越来越 多
咱们带小雪一起去，让她试一下	咱们 带 小雪 一起 去 ， 让 她 试一下
裙子不比短裤贵多少	裙子 不比 短裤 贵 多少
甜极了	甜 极了
不仅便宜，而且用着非常方便	不仅 便宜 ， 而且 用 着 非常 方便
不能再胖下去了	不能 再 胖 下去 了
昨天游完泳以后	昨天 游 完 泳 以后
我上次来医院已经过去差不多两年了	我 上次 来 医院 已经 过去 差不多 两年 了
每天睡前吃一次	每天 睡前 吃 一次
为了准备运动会	为了 准备 运动会
总是接不住球	总是 接 不住 球
越看越着急	越 看 越 着急
虽然他没有得到好成绩，但是他让世界认识了中国	虽然 他 没有 得到 好 成绩 ， 但是 他 让 世界 认识 了 中国
把这些题都记在本子上	把 这些 题 都 记 在 本子 上
在学习上，遇到什么问题都可以问我	在 学习 上 ， 遇到 什么 问题 都 可以 问 我
明天再把书还给我	明天 再 把 书 还给 我
在你的影响下	在 你 的 影响 下
会议室的电脑或者自己的电脑都可以	会议室 的 电脑 或者 自己 的 电脑 都 可以
看来我没办法解决这个问题	看来 我 没 办法 解决 这个 问题
一起把这些工作做完	一起 把 这些 工作 做 完
对我来说，生活也很重要	对 我 来说 ， 生活 也 很 重要
或者明天去，或者后天去	或者 明天 去 ， 或者 后天 去
雨已经下起来了	雨 已经 下 起来 了
今年就下了一次	今年 就 下 了 一次
这一年多住下来	这 一年 多 住 下来
有时间的话，就来我家做客	有 时间 的话 ， 就 来 我家 做客
我把饮料和酒都放进冰箱里了	我 把 饮料 和 酒 都 放进 冰箱 里 了
咱们一边吃蛋糕、一边聊天儿吧	咱们 一边 吃 蛋糕 、 一边 聊天儿 吧
一边喝红茶，一边聊天儿	一边 喝 红茶 ， 一边 聊天儿
这本书都被别人借走了	这 本 书 都 被 别人 借 走 了
先去图书馆借书，然后去游泳	先 去 图书馆 借书 ， 然后 去 游泳
紧张什么啊	紧张 什么 啊
老师和校长也被叫起来一块儿跳	老师 和 校长 也 被 叫 起来 一块儿 跳
根据他们的需要	根据 他们 的 需要
一点儿一点儿给您讲	一点儿一点儿 给 您 讲
在我们中国人看来	在 我们 中国 人 看来
难过的事情不一会儿就忘了	难过 的 事情 不一会儿 就 忘 了
一会儿在你脚边睡觉，一会儿在你身上爬	一会儿 在 你 脚边 睡觉 ， 一会儿 在 你 身上 爬
关于这个问题	关于 这个 问题
一般来说，熊猫每天要睡很多次觉	一般来说 ， 熊猫 每天 要 睡 很多 次 觉
冬天比夏天游客少	冬天 比 夏天 游客 少
以后我要多向认真的人学习	以后 我 要 多 向 认真 的 人 学习
你不是喜欢玩电脑吗	你 不是 喜欢 玩 电脑 吗
更没想好去哪个国家	更 没 想好 去 哪个 国家
只有想清楚自己真正喜欢什么，才能做出最合适的选择	只有 想 清楚 自己 真正 喜欢 什么 ， 才能 做出 最 合适 的 选择
大概七八天	大概 七八天
我刚刚看视频学会了包饺子	我 刚刚 看 视频 学会 了 包 饺子
只要几天不跟他视频，就很想他	只要 几天 不 跟 他 视频 ， 就 很 想 他
从那时起就努力学习	从 那时 起 就 努力 学习
你好	你好
您好	您好
没关系	没关系
不谢	不谢
再见	再见
你是老师吗	你 是 老师 吗
你是中国人吗	你 是 中国 人 吗
她是我的汉语老师	她 是 我 的 汉语 老师
你是哪国人	你 是 哪 国 人
她呢？她是你同学吗	她 呢 ？ 她 是 你 同学 吗
你女儿几岁了	你 女儿 几岁 了
李老师多大了	李老师 多大 了
你会说汉语吗	你 会 说 汉语 吗
中国菜好吃吗	中国 菜 好吃 吗
这个字怎么写	这个 字 怎么 写
今天几号	今天 几号
明天是9月2号，星期四	明天 是 9 月 2 号 ， 星期四
我去学校看书	我 去 学校 看书
我想喝茶	我 想 喝茶
我想买一个杯子	我 想 买 一个 杯子
这个杯子多少钱	这个 杯子 多少 钱
小猫在哪儿	小猫 在 哪儿
你儿子在哪儿工作	你 儿子 在 哪儿 工作
他在医院	他 在 医院
桌子上有一个电脑和一本书	桌子 上 有 一个 电脑 和 一 本 书
前面那个人叫什么名字	前面 那个 人 叫 什么 名字
我能坐这儿吗	我 能 坐 这儿 吗
现在十点十分	现在 十点 十分
爸爸什么时候回家	爸爸 什么 时候 回家
星期五前能回家吗	星期五 前 能 回家 吗
明天天气很好，不冷不热	明天 天气 很 好 ， 不冷不热
今天不会下雨	今天 不会 下雨
我身体不太好。天气太热了，不爱吃饭	我 身体 不太 好 。 天气 太 热 了 ， 不 爱 吃饭
他在学做中国菜呢	他 在 学 做 中国 菜 呢
我在睡觉呢	我 在 睡觉 呢
她在工作呢，你下午打吧	她 在 工作 呢 ， 你 下午 打 吧
我去商店买东西了	我 去 商店 买 东西 了
40分钟后回来	40 分钟 后 回来
她买了不少衣服	她 买 了 不少 衣服
我们是2011年9月认识的	我们 是 2011 年 9 月 认识 的
我们是坐出租车来的	我们 是 坐 出租车 来 的
您是坐飞机来北京的	您 是 坐 飞机 来 北京 的
什么时候去最好	什么 时候 去 最好
最	最
要不要	要 不要
六个多月	六 个 多 月
是不是喜欢运动	是不是 喜欢 运动
现在身体怎么样	现在 身体 怎么样
多大	多大
每天	每天
我爸爸的	我 爸爸 的
一下	一下
真漂亮	真 漂亮
左边那个红色的	左边 那个 红色 的
这本书是我写的	这 本 书 是 我 写 的
是儿子接的	是 儿子 接 的
十一岁的时候	十一岁 的 时候
已经两年多了	已经 两年 多 了
就做	就 做
有点儿大	有点儿 大
还可以	还 可以
以后我少喝一点儿	以后 我 少 喝 一点儿
你怎么知道他来了	你 怎么 知道 他 来 了
天天	天天
因为昨天下雨，所以我们都没去	因为 昨天 下雨 ， 所以 我们 都 没 去
这两天怎么没看见小张	这 两天 怎么 没 看见 小张
还在教室学习呢	还 在 教室 学习 呢
二十分钟就到	二十分钟 就 到
你家离公司远吗	你家 离 公司 远 吗
走几分钟就到了	走 几分钟 就 到 了
明天下午再去吧	明天 下午 再 去 吧
王老师让我给大卫打个电话	王老师 让 我 给 大卫 打 个 电话
我叫人去看看	我 叫 人 去 看看
让我再看看	让 我 再 看看
打错了	打错 了
从几岁开始	从 几岁 开始
第一个工作	第一个 工作
做完	做 完
不要看电视了	不要 看 电视 了
不要喝茶	不要 喝茶
正在准备午饭呢	正在 准备 午饭 呢
别找了	别 找 了
和你一起唱歌的	和 你 一起 唱歌 的
他比我大三岁	他 比 我 大 三岁
比昨天便宜一些	比 昨天 便宜 一些
可能不认识她	可能 不 认识 她
比我早起一个小时	比 我 早起 一个 小时
吃得太少了	吃 得 太少 了
穿得太少了	穿 得 太少 了
住得近一点儿	住 得 近 一点儿
门开着呢	门 开 着 呢
手里拿着铅笔的	手里 拿 着 铅笔 的
她不是有男朋友吗	她 不是 有 男朋友 吗
往前走	往 前 走
看过	看过
虽然去过好几次，但是	虽然 去过 好 几次 ， 但是
虽然是晴天，但是很冷	虽然 是 晴天 ， 但是 很 冷
买过一次	买过 一次
新年就要到了	新年 就要 到 了
新的一年快要到了	新 的 一年 快要 到 了
都等她半个小时了	都 等 她 半个 小时 了
快要下雨了	快要 下雨 了
想好了	想 好 了
一点儿也不着急	一点儿 也 不 着急
小刚：我还没想好呢	小刚 ： 我 还 没 想好 呢
准备好了	准备 好 了
小刚：怎么了	小刚 ： 怎么 了
回来了就让他给我打个电话	回来 了 就 让 他 给 我 打 个 电话
你怎么回去	你 怎么 回去
吃了饭就睡觉	吃 了 饭 就 睡觉
晴天还是阴天	晴天 还是 阴天
上面写着	上面 写 着
桌子上放着很多饮料	桌子 上 放 着 很多 饮料
又高又漂亮	又 高 又 漂亮
拿着鲜花站在门口	拿 着 鲜花 站 在 门口
吃着蛋糕看电视	吃 着 蛋糕 看 电视
笑着跟客人说话	笑 着 跟 客人 说话
现在好多了	现在 好 多 了
我明天不能和你们出去玩儿了	我 明天 不能 和 你们 出去 玩儿 了
花也开了	花 也 开 了
我最近越来越胖了	我 最近 越来越 胖 了
我一个字也看不清楚	我 一个 字 也 看不清楚
刚做完	刚 做 完
买不到票	买不到 票
牛奶呢	牛奶 呢
在北京工作三年了	在 北京 工作 三年 了
对音乐感兴趣	对 音乐 感兴趣
我跟她都认识五年了	我 跟 她 都 认识 五年 了
已经差一刻八点了	已经 差 一刻 八点 了
今天又去看了看，明天还要再去看看	今天 又 去 看 了 看 ， 明天 还要 再 去 看看
欢迎你以后再到中国来	欢迎 你 以后 再 到 中国 来
你坐哪儿我就坐哪儿	你 坐 哪儿 我 就 坐 哪儿
想吃什么就吃什么	想 吃 什么 就 吃 什么
跟中国人一样好	跟 中国 人 一样 好
会越吃越胖	会 越 吃 越 胖
山越高，路越难走	山 越 高 ， 路 越 难 走
休息得越多，好得越快	休息 得 越 多 ， 好 得 越 快
马可比我高，我比马可矮一点儿	马可 比 我 高 ， 我 比 马可 矮 一点儿
数学比历史难多了	数学 比 历史 难 多 了
骑车七八分钟就能到	骑车 七八分钟 就 能 到
学校外边的房子比学校里边的大一些	学校 外边 的 房子 比 学校 里边 的 大 一些
帮我把这本词典还了吧	帮 我 把 这 本 词典 还 了 吧
别忘记把空调关了	别 忘记 把 空调 关 了
我把爸爸的生日忘了	我 把 爸爸 的 生日 忘 了
五千块左右	五千 块 左右
以前都要12点以后才睡觉	以前 都 要 12 点 以后 才 睡觉
帮你把衣服放到行李箱里	帮 你 把 衣服 放到 行李箱 里
我才发现忘带护照了	我 才 发现 忘带 护照 了
把下次学生需要带的东西写在黑板上	把 下次 学生 需要 带 的 东西 写 在 黑板 上
从哪儿买回来这么多东西啊	从 哪儿 买回来 这么 多 东西 啊
一边喝咖啡一边说了些过去的事	一边 喝 咖啡 一边 说 了 些 过去 的 事
可以一边吃一边看	可以 一边 吃 一边 看
一边吃早饭一边看报纸	一边 吃 早饭 一边 看 报纸
先把茶和杯子放好，然后把冰箱里的西瓜拿出来	先 把 茶 和 杯子 放 好 ， 然后 把 冰箱 里 的 西瓜 拿 出来
先把电视节目看完吧，然后再给我回电话	先 把 电视节目 看 完 吧 ， 然后 再 给 我 回 电话
先把桌椅搬出去，然后你把水果拿过来	先 把 桌椅 搬出去 ， 然后 你 把 水果 拿 过来
先把米饭做好，然后再把一块块新鲜的水果放进去	先 把 米饭 做好 ， 然后 再 把 一块块 新鲜 的 水果 放进去
除了这个句子意思有些不清楚外，其他都没什么问题	除了 这个 句子 意思 有些 不 清楚 外 ， 其他 都 没什么 问题
除了小云，其他人都来了	除了 小云 ， 其他人 都 来 了
除了看新闻，人们还可以在网上听歌、看电影、买东西	除了 看 新闻 ， 人们 还 可以 在 网上 听歌 、 看 电影 、 买 东西
除了春节、中秋节以外，啤酒节也是这里很重要的一个节日	除了 春节 、 中秋节 以外 ， 啤酒节 也 是 这里 很 重要 的 一个 节日
如果有钱，就去了	如果 有钱 ， 就 去 了
白白的、胖胖的	白白的 、 胖胖的
如果不舒服，就去医院检查一下吧	如果 不 舒服 ， 就 去 医院 检查 一下 吧
忙得没时间跟别人见面	忙 得 没 时间 跟 别人 见面
你一共想请几天假	你 一共 想 请 几天 假
认识认识吧	认识 认识 吧
哪儿都不舒服	哪儿 都 不 舒服
这句话谁都懂	这 句 话 谁 都 懂
只要我有，就一定会借给你的	只要 我 有 ， 就 一定 会 借给 你 的
只要你给我买，我就能照顾好它	只要 你 给 我 买 ， 我 就 能 照顾 好 它
关于这个工作	关于 这个 工作
只要经过一段时间，就会慢慢地习惯	只要 经过 一段时间 ， 就 会 慢慢 地 习惯
我也想起来了	我 也 想 起来 了
你没看出来吗	你 没 看 出来 吗
她马上就安静下来了	她 马上 就 安静 下来 了
叫朋友们也高兴高兴	叫 朋友 们 也 高兴 高兴
我的照相机被谁拿走了	我 的 照相机 被 谁 拿走 了
只有爱，才能让人有变化	只有 爱 ， 才能 让 人 有 变化
我们经常被别人认错	我们 经常 被 别人 认错
