# 课文对话行的拼音 + 英文翻译（手工源，convert_texts.py 回灌到 lines[]）
# 格式: 汉字<TAB>拼音<TAB>英文  —— 按去重后的对话行（说话人已去掉）
# 拼音为 tone-marked，不/一 采用变调写法；数字读作汉字处已转拼音，电话号码保留原样。
# 目前覆盖 newhsk3 第 1 单元（试水）。
AI小语，你好！	AI Xiǎoyǔ, nǐ hǎo!	AI Xiaoyu, hello!
王老师，你好！	Wáng lǎoshī, nǐ hǎo!	Hello, Teacher Wang!
大家好！	Dàjiā hǎo!	Hello, everyone!
老师，您好！	Lǎoshī, nín hǎo!	Hello, Teacher!
你好！	Nǐ hǎo!	Hello!
你好，小语！	Nǐ hǎo, Xiǎoyǔ!	Hello, Xiaoyu!
谢谢！	Xièxie!	Thank you!
不客气！	Bú kèqi!	You're welcome!
同学们，再见！	Tóngxuémen, zàijiàn!	Goodbye, students!
老师，再见！	Lǎoshī, zàijiàn!	Goodbye, Teacher!
请问，你叫什么名字？	Qǐngwèn, nǐ jiào shénme míngzi?	Excuse me, what's your name?
我叫陈天中。	Wǒ jiào Chén Tiānzhōng.	My name is Chen Tianzhong.
你好，安妮！	Nǐ hǎo, Ānnī!	Hello, Annie!
你好，陈天中！我不是安妮，我是白家月。	Nǐ hǎo, Chén Tiānzhōng! Wǒ bú shì Ānnī, wǒ shì Bái Jiāyuè.	Hello, Chen Tianzhong! I'm not Annie, I'm Bai Jiayue.
对不起！	Duìbuqǐ!	Sorry!
没关系！	Méi guānxi!	It's okay!
你好！我叫李文。	Nǐ hǎo! Wǒ jiào Lǐ Wén.	Hello! My name is Li Wen.
你好！我叫白家月。	Nǐ hǎo! Wǒ jiào Bái Jiāyuè.	Hello! My name is Bai Jiayue.
很高兴认识你。	Hěn gāoxìng rènshi nǐ.	Nice to meet you.
认识你我也很高兴。	Rènshi nǐ wǒ yě hěn gāoxìng.	Nice to meet you too.
我是中国人。	Wǒ shì Zhōngguórén.	I'm Chinese.
我是法国人。我的中文老师也是中国人。	Wǒ shì Fǎguórén. Wǒ de Zhōngwén lǎoshī yě shì Zhōngguórén.	I'm French. My Chinese teacher is Chinese too.
这是谁？	Zhè shì shéi?	Who is this?
这是我女朋友。	Zhè shì wǒ nǚpéngyou.	This is my girlfriend.
你女朋友是哪国人？	Nǐ nǚpéngyou shì nǎ guó rén?	What country is your girlfriend from?
她也是泰国人。	Tā yě shì Tàiguórén.	She's Thai too.
喂，一飞！	Wéi, Yīfēi!	Hello, Yifei!
姐姐！	Jiějie!	Sis!
你工作还忙吗？	Nǐ gōngzuò hái máng ma?	Is work still busy for you?
