# 生词挖空「词库磁贴」的拼音+英文补漏（手写源）。
# 这些挖空答案词不在闪卡词库里，convert 时用来补全磁贴的拼音/释义。
# 格式: 汉字<TAB>拼音<TAB>英文
下雪	xià xuě	to snow
不少	bù shǎo	quite a few; not a little
不是	bú shì	no; is not
不谢	bú xiè	you're welcome
中国人	Zhōngguórén	Chinese (person)
中国菜	Zhōngguó cài	Chinese food
做错	zuòcuò	to do (sth) wrong
六月	liù yuè	June
几口人	jǐ kǒu rén	how many people (in a family)
几岁	jǐ suì	how old (for a child)
医	yī	medicine; to treat (illness)
半年	bàn nián	half a year
叶	yè	leaf
同学们	tóngxuémen	classmates (plural)
周太太	Zhōu tàitai	Mrs. Zhou
咖啡店	kāfēidiàn	coffee shop
咖啡杯	kāfēibēi	coffee cup; mug
哪国人	nǎ guó rén	from which country
喝水	hē shuǐ	to drink water
在家	zài jiā	at home
多大	duō dà	how old; how big
头疼	tóu téng	headache; to have a headache
女孩子	nǚ háizi	girl
奶茶店	nǎichádiàn	milk tea shop
好喝	hǎohē	tasty; good to drink
家里	jiā li	at home; in the house
小狗	xiǎo gǒu	puppy; little dog
小猫	xiǎo māo	kitten; little cat
小鸟	xiǎo niǎo	little bird
帮个忙	bāng ge máng	to do (sb) a favor
往外	wǎng wài	outward; toward the outside
心	xīn	heart
想家	xiǎng jiā	to be homesick
慢慢	mànmàn	slowly
晴天	qíngtiān	sunny day
有人	yǒu rén	someone; (seat) taken
每天	měi tiān	every day
汉语老师	Hànyǔ lǎoshī	Chinese (language) teacher
法国人	Fǎguórén	French (person)
泰国人	Tàiguórén	Thai (person)
洗完	xǐ wán	to finish washing
澡	zǎo	bath
电影票	diànyǐngpiào	movie ticket
画画	huà huà	to draw; to paint
看书	kàn shū	to read (a book)
笔记本电脑	bǐjìběn diànnǎo	laptop
第一名	dì-yī míng	first place
第一次	dì-yī cì	the first time
美国人	Měiguórén	American (person)
街道	jiēdào	street
试试	shìshi	to try (out)
谢谢你	xièxie nǐ	thank you
过生日	guò shēngrì	to celebrate a birthday
那我们再	nà wǒmen zài	then let's … (do sth) again
门外	mén wài	outside the door
