# 语法备注英文 (hand-authored, NOT machine-translated). 中文备注<TAB>English.
# Keyed by the EXACT 备注 text in the xlsx; merged into each grammar point as noteEn by convert_grammar.py.
疑问词句末一般不用“吗”。	With a question word, you normally don't add 吗 at the end.
“是”连接名词身份，不直接放在普通形容词前。	是 links nouns/identities; don't put it directly before a plain adjective.
有“什么、谁、哪”等疑问词时通常不用“吗”。	When a question word like 什么/谁/哪 is present, 吗 is usually not used.
“哪”常放在名词前，如“哪国”。	哪 usually comes before a noun, e.g. 哪国 (which country).
亲属或很亲近的关系有时可以省略“的”，第12课会学习。	With family or very close relationships, 的 can sometimes be dropped (see Lesson 12).
前文已经说过的问题，可以用“呢”避免重复。	Use 呢 to ask the same question already mentioned, without repeating it.
“几”常用于预期数量较小的情况。	几 is used when the expected number is small.
10=十，20=二十，21=二十一。	10 = 十, 20 = 二十, 21 = 二十一.
这里的“了”不是第14课“动作完成”的“了”。	This 了 is not the "completed action" 了 taught in Lesson 14.
“多大”和“几岁”都可以问年龄。	Both 多大 and 几岁 can ask someone's age.
“会”强调学会的技能；第10课“能”更多表示条件允许或许可。	会 stresses a learned skill; 能 (Lesson 10) is more about being allowed/possible.
初级阶段可记：主语 + 很 + 形容词，不用“是”。	At this level just remember: Subject + 很 + adjective, with no 是.
“怎么”后面通常跟动作；“怎么样”第12课表示“怎么样/如何”。	怎么 is usually followed by an action; 怎么样 (Lesson 12) means "how/how about".
口语常用“号”，书面也常用“日”。	Speech usually uses 号; writing often uses 日.
口语中有时能听到“今天是……”，但本课核心是掌握名词谓语句。	You may hear "今天是…" in speech, but the point here is the noun-predicate sentence.
两个动作按发生顺序排列：先“去”，再做第二个动作。	The two actions follow their real order: first 去, then the second action.
“想”后面直接接动作。	想 is followed directly by an action.
“多少”后面的量词有时可以省略，如“多少人”。	The measure word after 多少 can sometimes be dropped, e.g. 多少人.
初学可先记“个”是常用通用量词；“口”常用于家庭人口。	First learn 个 as the general measure word; 口 is used for family members.
“块”是口语里常用的人民币“元”。	块 is the colloquial word for the currency unit 元 (yuan).
这里“在”本身就是谓语，表示“位于”。	Here 在 is itself the predicate, meaning "to be located (at)".
“哪儿”和“哪里”意思相同；HSK1课本常用“哪儿”。	哪儿 and 哪里 mean the same; HSK1 texts prefer 哪儿.
比较：我在学校（位置） vs. 我在学校学习（动作地点）。	Compare: 我在学校 (location) vs. 我在学校学习 (place of an action).
需要有上下文；这里“呢”省略了“在哪儿”。	Context is needed here; 呢 leaves out "在哪儿 (where)".
“有”的否定是“没有”，不是“不有”。	The negative of 有 is 没有, never 不有.
初级阶段主要用“和”连接名词，不用来连接完整句子。	At this level 和 links nouns, not whole sentences.
“能”常与条件、可能或许可有关；“会”更偏向学会的技能。	能 is about conditions/possibility/permission; 会 is more about a learned skill.
“请”放在动作前，让请求更礼貌。	Put 请 before an action to make a request more polite.
口语中“分”有时可以省略：三点十分 → 三点十。	In speech 分 can be dropped: 三点十分 → 三点十.
汉语时间通常放在动词前。	In Chinese, time expressions usually go before the verb.
“时间点 + 前”= before；“时长 + 前”常表示 ago。	Time-point + 前 = "before"; duration + 前 usually means "ago".
